Nr.,BE 0685.615.103,MIC 6.1.1
"",Codes,Boekjaar,Vorig boekjaar
Immateriële vaste activa,,,
Aanschaffingswaarde per einde van het boekjaar,8059P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",8029,5.000,
Overdrachten en buitengebruikstellingen,8039,,
Overboekingen van een post naar een andere (+)/(-),8049,,
Aanschaffingswaarde per einde van het boekjaar,8059,5.000,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8129P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8079,1.917,
Teruggenomen,8089,,
Verworven van derden,8099,,
Afgeboekt na overdrachten en buitengebruikstellingen,8109,,
Overgeboekt van een post naar een andere (+)/(-),8119,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8129,1.917,
Nettoboekwaarde per einde van het boekjaar,21,3.083,
Nr.,BE 0685.615.103,MIC
Nr.,BE 0685.615.103,MIC
Nr.,BE 0685.615.103,MIC
Nr.,BE 0685.615.103,MIC 6.1.2
"",Codes,Boekjaar,Vorig boekjaar
Materiële vaste activa,,,
Aanschaffingswaarde per einde van het boekjaar,8199P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",8169,26.857,
Overdrachten en buitengebruikstellingen,8179,,
Overboekingen van een post naar een andere (+)/(-),8189,,
Aanschaffingswaarde per einde van het boekjaar,8199,26.857,
Meerwaarden per einde van het boekjaar,8259P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8219,,
Verworven van derden,8229,,
Afgeboekt,8239,,
Overgeboekt van een post naar een andere (+)/(-),8249,,
Meerwaarden per einde van het boekjaar,8259,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8329P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8279,18.674,
Teruggenomen,8289,,
Verworven van derden,8299,,
Afgeboekt na overdrachten en buitengebruikstellingen,8309,,
Overgeboekt van een post naar een andere (+)/(-),8319,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8329,18.674,
Nettoboekwaarde per einde van het boekjaar,22/27,8.183,
"",,,
Nr.,BE 0685.615.103,,MI
"",,,
Nr.,BE 0685.615.103,,MI
"",,,
Nr.,BE 0685.615.103,,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MI
Nr.,BE 0685.615.103,MIC 12
"",Codes,1.,Voltijds,2.,Deeltijds,,3.,Totaal (T),3P. Totaal (T),
Tijdens het boekjaar en het vorige,,,,,,,,of totaal in,of totaal in,
boekjaar,,,,,,,,voltijdse,voltijdse,
"",,,,,,,,equivalenten,equivalenten,
"",,,,,,,,(VTE),(VTE),
"",,,(boekjaar),,(boekjaar),,,(boekjaar),(vorig boekjaar),
Gemiddeld aantal werknemers,100,,,,"1,7",,,"0,9 VTE",,VTE
Aantal daadwerkelijk gepresteerde,,,,,,,,,,
uren,101,,,,734,,,734 T,,T
Personeelskosten,102,,,,16.627,,,16.627 T,,T
"",Codes,1.,Voltijds,,,,3.,Totaal in
Op de afsluitingsdatum van het boekjaar,,,,2.,Deeltijds,,,voltijdse
"",,,,,,,,equivalenten
Aantal werknemers,105,,,,,2,,"1,5"
Volgens de aard van de arbeidsovereenkomst,,,,,,,,
Overeenkomst voor een onbepaalde tijd,110,,,,,2,,"1,5"
Overeenkomst voor een bepaalde tijd,111,,,,,,,
Overeenkomst voor een duidelijk omschreven werk,112,,,,,,,
Vervangingsovereenkomst,113,,,,,,,
Volgens het geslacht en het studieniveau,,,,,,,,
Mannen,120,,,,,2,,"1,5"
lager onderwijs,1200,,,,,2,,"1,5"
secundair onderwijs,1201,,,,,,,
hoger niet-universitair onderwijs,1202,,,,,,,
universitair onderwijs,1203,,,,,,,
Vrouwen,121,,,,,,,
lager onderwijs,1210,,,,,,,
secundair onderwijs,1211,,,,,,,
hoger niet-universitair onderwijs,1212,,,,,,,
universitair onderwijs,1213,,,,,,,
Volgens de beroepscategorie,,,,,,,,
Directiepersoneel,130,,,,,,,
Bedienden,134,,,,,,,
Arbeiders,132,,,,,2,,"1,5"
Andere,133,,,,,,,
"",,,
Nr.,BE 0685.615.103,,MI
"",,,
Nr.,BE 0685.615.103,,MI
"",,,
Nr.,BE 0685.615.103,,MI
"",Codes,1.Voltijds,2.Deeltijds,"3.Totaal involtijdseequivalenten",,,
"",Codes,1.,Voltijds,2.,Deeltijds,3.,"Totaal involtijdseequivalenten"
Ingetreden,,,,,,,
"Aantal werknemers waarvoor de onderneming tijdenshet boekjaar een DIMONA-verklaring heeft ingediendof die tijdens het boekjaar werden ingeschreven in hetalgemeen personeelsregister",205,,,,,,
Uitgetreden,,,,,,,
Codes
Codes
1.Voltijds,
1.,Voltijds
2.Deeltijds,
2.,Deeltijds
"3.Totaal involtijdseequivalenten",
3.,"Totaal involtijdseequivalenten"
"",,Codes,Mannen,Codes,Vrouwen,
"Totaal van de formele voortgezette beroepsopleidingsinitiatieven tenlaste van de werkgever",,,,,,
"",Aantal betrokken werknemers,5801,,5811,,
"",Aantal gevolgde opleidingsuren,5802,,5812,,
"",Nettokosten voor de onderneming,5803,,5813,,
"",,waarvan brutokosten rechtstreeks verbonden met de opleiding,58031,,58131,
"",,waarvan betaalde bijdragen en stortingen aan collectieve fondsen,58032,,58132,
"",,waarvan ontvangen tegemoetkomingen (in mindering),58033,,58133,
"",,,,,,
"Totaal van de minder formele en informele voortgezetteberoepsopleidingsinitiatieven ten laste van de werkgever",,,,,,
"",Aantal betrokken werknemers,5821,,5831,,
"",Aantal gevolgde opleidingsuren,5822,,5832,,
"",Nettokosten voor de onderneming,5823,,5833,,
"",,,,,,
"Totaal van de initiële beroepsopleidingsinitiatieven ten laste van dewerkgever",,,,,,
"",Aantal betrokken werknemers,5841,,5851,,
"",Aantal gevolgde opleidingsuren,5842,,5852,,
