Geboekt,,8079,83,,
Teruggenomen,,8089,,,
Verworven van derden,,8099,,,
Afgeboekt na overdrachten en buitengebruikstellingen,,8109,,,
Overgeboekt van een post naar een andere,(+)/(-),8119,,,
fschrijvingen en waardeverminderingen per einde van het boekjaar,,8129,5.000,,
ETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,(21),0,,
N°,0685615103,MIC-inb 6.1.2
"",,Codes,Boekjaar,Vorig boekjaar,
ATERIËLE VASTE ACTIVA,,,,,
anschaffingswaarde per einde van het boekjaar,,8199P,XXXXXXXXXX,,70.285
utaties tijdens het boekjaar,,,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",,8169,,,
Overdrachten en buitengebruikstellingen,,8179,,,
Overboekingen van een post naar een andere,(+)/(-),8189,,,
anschaffingswaarde per einde van het boekjaar,,8199,70.285,,
eerwaarden per einde van het boekjaar,,8259P,XXXXXXXXXX,,
utaties tijdens het boekjaar,,,,,
Geboekt,,8219,,,
Verworven van derden,,8229,,,
Afgeboekt,,8239,,,
Overgeboekt van een post naar een andere,(+)/(-),8249,,,
eerwaarden per einde van het boekjaar,,8259,,,
fschrijvingen en waardeverminderingen per einde van het boekjaar,,8329P,XXXXXXXXXX,,30.117
utaties tijdens het boekjaar,,,,,
Geboekt,,8279,8.739,,
Teruggenomen,,8289,,,
Verworven van derden,,8299,,,
Afgeboekt na overdrachten en buitengebruikstellingen,,8309,,,
Overgeboekt van een post naar een andere,(+)/(-),8319,,,
fschrijvingen en waardeverminderingen per einde van het boekjaar,,8329,38.856,,
ETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,,(22/27),31.429,,
N°,0685615103,MIC-inb 6.2
"",Codes,Boekjaar,
aandelen,,,
houden door de vennootschap zelf,,,
Aantal aandelen,8722,,0
N°,0685615103,MIC-inb 6.5
N°,0685615103,MIC-inb 6.5
"++",,,+,,+,,+,,+
"+ 1. Oprichtingskosten ..............+",,,+,,+,,+,,+
"++",,,+,,+,,+,,+
"+ 2. Immateriële vaste activa .......+",,,+,,+,,+,,+
"++",,,+,,+,,+,,+
"+ 3. Industriële, administratieve of +",,,+,,+,,+,,+
"+commerciële gebouwen * .........+",,D,+,NG,+,10.00 - 10.00 +,,+,
N°,,0685615103,,,,,,,,,,,,,MIC-inb 6.5
"",+,+,,,+,,+,,,+,,,+,,
"","+ 4. Installaties, machines en",+,,,+,,+,,,+,,,+,,
"",+,uitrustingen * .................+,,,+,,+,+,,,,+,,,
"",+,+,,,+,,+,,,+,,,+,,
"",+,+,,,+,,+,,,+,,,+,,
"",+ 5. Rollend materieel * ............+,,,L,+,NG,+,20.00 - 20.00,,+,,20.00 - 20.00,+,,
"",+,+,,,+,,+,,,+,,,+,,
"",+ 6. Kantoormateriaal en meubilair * +,,,,+,,+,+,,,,+,,,
"",+,+,,,+,,+,,,+,,,+,,
"",+,+,,,+,,+,,,+,,,+,,
N°,0685615103,MIC-inb 6.5
N°,0685615103,MIC-inb 11
"",,,,,3. Totaal (T) of totaal in,3P. Totaal (T) of totaal in
"",,1. Voltijds,2. Deeltijds,,voltijdse equivalenten,voltijdse equivalenten
"",Codes,,,,(VTE),(VTE)
Tijdens het boekjaar en het vorige,,(boekjaar),(boekjaar),,,
boekjaar,,,,,(boekjaar),(vorig boekjaar)
Gemiddeld aantal werknemers,100,,,1,1,"1,2"
Aantal daadwerkelijk gepresteerde uren,101,,,1.642,1.642,1.742
Personeelskosten,102,,,,,
"",,,,,,3. Totaal in voltijdse,
"",Codes,1. Voltijds,,2. Deeltijds,,,
Op de afsluitingsdatum van het boekjaar,,,,,,equivalenten,
Aantal werknemers,105,,0,,1,,1
Volgens de aard van de arbeidsovereenkomst,,,,,,,
Overeenkomst voor een onbepaalde tijd,110,,,,1,,1
Overeenkomst voor een bepaalde tijd,111,,,,,,
Overeenkomst voor een duidelijk omschreven werk,112,,,,,,
Vervangingsovereenkomst,113,,,,,,
Volgens het geslacht en het studieniveau,,,,,,,
Mannen,120,,0,,1,,1
lager onderwijs,1200,,,,1,,1
secundair onderwijs,1201,,,,,,
hoger niet-universitair onderwijs,1202,,,,,,
universitair onderwijs,1203,,,,,,
Vrouwen,121,,,,,,
lager onderwijs,1210,,,,,,
secundair onderwijs,1211,,,,,,
hoger niet-universitair onderwijs,1212,,,,,,
universitair onderwijs,1213,,,,,,
Volgens de beroepscategorie,,,,,,,
Directiepersoneel,130,,,,,,
Bedienden,134,,,,,,
Arbeiders,132,,,,1,,1
Andere,133,,,,,,
N°,0685615103,MIC-inb 11
"",,,,3. Totaal in voltijdse
"",Codes,1. Voltijds,2. Deeltijds,
INGETREDEN,,,,equivalenten
Aantal werknemers waarvoor de vennootschap tijdens het boekjaar,,,,
een DIMONA-verklaring heeft ingediend of die tijdens het boekjaar,,,,
werden ingeschreven in het algemeen personeelsregister,205,,,
UITGETREDEN,,,,
Aantal werknemers met een in de DIMONA-verklaring aangegeven of,,,,
een in het algemeen personeelsregister opgetekende datum waarop,,,,
hun overeenkomst tijdens het boekjaar een einde nam,305,,,
"",Codes,Mannen,Codes,Vrouwen
Totaal van de formele voortgezette beroepsopleidingsinitiatieven ten laste,,,,
van de werkgever,,,,
Aantal betrokken werknemers,5801,,5811,
Aantal gevolgde opleidingsuren,5802,,5812,
Nettokosten voor de vennootschap,5803,,5813,
waarvan brutokosten rechtstreeks verbonden met de opleiding,58031,,58131,
waarvan betaalde bijdragen en stortingen aan collectieve fondsen,58032,,58132,
waarvan ontvangen tegemoetkomingen (in mindering),58033,,58133,
Totaal van de minder formele en informele voortgezette,,,,
beroepsopleidingsinitiatieven ten laste van de werkgever,,,,
Aantal betrokken werknemers,5821,,5831,
Aantal gevolgde opleidingsuren,5822,,5832,
Nettokosten voor de vennootschap,5823,,5833,
Totaal van de initiële beroepsopleidingsinitiatieven ten laste van de,,,,
werkgever,,,,
Aantal betrokken werknemers,5841,,5851,
Aantal gevolgde opleidingsuren,5842,,5852,
Nettokosten voor de vennootschap,5843,,5853,
