"(bestedingen en terugnemingen) (+)/(-)",,,635/8,,
Andere bedrijfskosten,,,640/8,666,151
Als herstructureringskosten geactiveerde,,,,,
bedrijfskosten (-),,,649,,
Niet-recurrente bedrijfskosten,,,66A,2.622,0
Bedrijfswinst (Bedrijfsverlies) (+)/(-),,,9901,82.006,59.604
Financiële opbrengsten,,,75/76B,20,79
Recurrente financiële opbrengsten,,,75,20,79
Waarvan: kapitaal- en interestsubsidies,,,753,,
Niet-recurrente financiële opbrengsten,,,76B,,
Financiële kosten,,,65/66B,2.987,1.354
Recurrente financiële kosten,,,65,2.987,1.354
Niet-recurrente financiële kosten,,,66B,,
Winst (Verlies) van het boekjaar vóór belasting (+)/(-),,,9903,79.038,58.328
Onttrekking aan de uitgestelde belastingen,,,780,,
Overboeking naar de uitgestelde belastingen,,,680,,
Belastingen op het resultaat (+)/(-),,,67/77,26.821,19.408
Winst (Verlies) van het boekjaar (+)/(-),,,9904,52.217,38.920
Onttrekking aan de belastingvrije reserves,,,789,,
Overboeking naar de belastingvrije reserves,,,689,,
Te bestemmen winst (verlies) van het boekjaar (+)/(-),,,9905,52.217,38.920
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 5
"",,Codes,Boekjaar,,Vorig boekjaar
Te bestemmen winst (verlies),(+)/(-),9906,,52.217,38.920
Te bestemmen winst (verlies) van het boekjaar,(+)/(-),9905,,52.217,38.920
Overgedragen winst (verlies) van het vorige boekjaar,(+)/(-),14P,,,
Onttrekking aan het eigen vermogen,,791/2,,,
Toevoeging aan het eigen vermogen,,691/2,,52.217,0
aan de inbreng,,691,,,
aan de wettelijke reserve,,6920,,,
aan de overige reserves,,6921,,52.217,0
Over te dragen winst (verlies),(+)/(-),14,,,
Tussenkomst van de vennoten in het verlies,,794,,,
Uit te keren winst,,694/7,,,
Vergoeding van de inbreng,,694,,,
Bestuurders of zaakvoerders,,695,,,
Werknemers,,696,,,
Andere rechthebbenden,,697,,,
Nr.,BE 0685.615.103,MIC-inb 6
Nr.,BE 0685.615.103,MIC-inb 6.1.1
"",Codes,Boekjaar,Vorig boekjaar
IMMATERIËLE VASTE ACTIVA,,,
Aanschaffingswaarde per einde van het boekjaar,8059P,XXXXXXXXXX,5.000
Mutaties tijdens het boekjaar,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",8029,,
Overdrachten en buitengebruikstellingen,8039,,
Overboekingen van een post naar een andere (+)/(-),8049,,
Aanschaffingswaarde per einde van het boekjaar,8059,5.000,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8129P,XXXXXXXXXX,3.917
Mutaties tijdens het boekjaar,,,
Geboekt,8079,1.000,
Teruggenomen,8089,,
Verworven van derden,8099,,
Afgeboekt na overdrachten en buitengebruikstellingen,8109,,
Overgeboekt van een post naar een andere (+)/(-),8119,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8129,4.917,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,21,83,
Nr.,BE 0685.615.103,MIC-inb 6
Nr.,BE 0685.615.103,MIC-inb 6.1.2
"",Codes,Boekjaar,Vorig boekjaar
MATERIËLE VASTE ACTIVA,,,
Aanschaffingswaarde per einde van het boekjaar,8199P,XXXXXXXXXX,31.776
Mutaties tijdens het boekjaar,,,
"Aanschaffingen, met inbegrip van de geproduceerde vaste activa",8169,38.510,
Overdrachten en buitengebruikstellingen,8179,,
Overboekingen van een post naar een andere (+)/(-),8189,,
Aanschaffingswaarde per einde van het boekjaar,8199,70.285,
Meerwaarden per einde van het boekjaar,8259P,XXXXXXXXXX,
Mutaties tijdens het boekjaar,,,
Geboekt,8219,,
Verworven van derden,8229,,
Afgeboekt,8239,,
Overgeboekt van een post naar een andere (+)/(-),8249,,
Meerwaarden per einde van het boekjaar,8259,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8329P,XXXXXXXXXX,27.672
Mutaties tijdens het boekjaar,,,
Geboekt,8279,2.445,
Teruggenomen,8289,,
Verworven van derden,8299,,
Afgeboekt na overdrachten en buitengebruikstellingen,8309,,
Overgeboekt van een post naar een andere (+)/(-),8319,,
Afschrijvingen en waardeverminderingen per einde van het,,,
boekjaar,8329,30.117,
NETTOBOEKWAARDE PER EINDE VAN HET BOEKJAAR,22/27,40.168,
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 6.2
"",Codes,Boekjaar,
aandelen,,,
houden door de vennootschap zelf,,,
Aantal aandelen,8722,,0
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 6.5
"++",,,+,,+,,+,,,,,+
"+ 1. Oprichtingskosten ..............+",,,+,,+,,+,,,,,+
"++",,,+,,+,,+,,,,,+
"+ 2. Immateriële vaste activa .......+",,,+,,+,,+,,,,,+
"++",,,+,,+,,+,,,,,+
"+ 3. Industriële, administratieve of +",,,+,,+,,+,,,,,+
"+commerciële gebouwen * .........+",,D,+,NG,+,10.00 - 10.00 +,,,,+,,
"++",,,+,,+,,+,,,,,+
"+ 4. Installaties, machines en+",,,+,,+,,+,,,,,+
"+uitrustingen * .................+",,,+,,+,+,,,+,,,
"++",,,+,,+,,+,,,,,+
"++",,,+,,+,,+,,,,,+
"+ 5. Rollend materieel * ............+",,L,+,NG,+,20.00 - 20.00,+,,20.00 - 20.00,,+,
"++",,,+,,+,,+,,,,,+
"+ 6. Kantoormateriaal en meubilair * +",,,+,,+,+,,,+,,,
"++",,,+,,+,,+,,,,,+
"++",,,+,,+,,+,,,,,+
"+ 7. Andere matriële vaste activa * .+",,,+,,+,,+,,,,,+
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 6.5
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 11
"",Codes,1.,Voltijds,,2.,Deeltijds,,3.,Totaal (T),,3P.,Totaal (T) of
Tijdens het boekjaar en het vorige,,,,,,,,,of totaal in,,,totaal in voltijdse
boekjaar,,,,,,,,,voltijdse,,,equivalenten
"",,,,,,,,,equivalenten,,,(VTE)
"",,,,,,,,,(VTE),,,
"",,,(boekjaar),,,(boekjaar),,,(boekjaar),,,(vorig boekjaar)
Gemiddeld aantal werknemers,100,,,0,,"1,5",,,"1,2",VTE,,"1,5 VTE"
Aantal daadwerkelijk gepresteerde,,,,,,,,,,,,
uren,101,,,,,1.742,,,1.742,T,,1.762 T
Personeelskosten,102,,,,,42.496,,,42.496,T,,45.065 T
"",Codes,,,,,,,,,
Op de afsluitingsdatum van het boekjaar,,1.,Voltijds,,2.,Deeltijds,,3.,Totaal in,
"",,,,,,,,,voltijdse,
"",,,,,,,,,equivalenten,
Aantal werknemers,105,,,0,,,1,,,1
Volgens de aard van de arbeidsovereenkomst,,,,,,,,,,
Overeenkomst voor een onbepaalde tijd,110,,,,,,1,,,1
Overeenkomst voor een bepaalde tijd,111,,,,,,,,,
Overeenkomst voor een duidelijk omschreven werk,112,,,,,,,,,
Vervangingsovereenkomst,113,,,,,,,,,
Volgens het geslacht en het studieniveau,,,,,,,,,,
Mannen,120,,,0,,,1,,,1
lager onderwijs,1200,,,,,,1,,,1
secundair onderwijs,1201,,,,,,0,,,0
hoger niet-universitair onderwijs,1202,,,,,,,,,
universitair onderwijs,1203,,,,,,,,,
Vrouwen,121,,,,,,,,,
lager onderwijs,1210,,,,,,,,,
secundair onderwijs,1211,,,,,,,,,
hoger niet-universitair onderwijs,1212,,,,,,,,,
universitair onderwijs,1213,,,,,,,,,
Volgens de beroepscategorie,,,,,,,,,,
Directiepersoneel,130,,,,,,,,,
Bedienden,134,,,,,,,,,
Arbeiders,132,,,,,,1,,,1
Andere,133,,,,,,,,,
Nr.,BE 0685.615.103,MIC-inb
Nr.,BE 0685.615.103,MIC-inb 11
"",Codes,1.,Voltijds,2.,Deeltijds,,3.,Totaal in,
"",,,,,,,,voltijdse,
"",,,,,,,,equivalenten,
INGETREDEN,,,,,,,,,
Aantal werknemers waarvoor de vennootschap tijdens het,,,,,,,,,
boekjaar een DIMONA-verklaring heeft ingediend of die,,,,,,,,,
tijdens het boekjaar werden ingeschreven in het algemeen,,,,,,,,,
personeelsregister,205,,,,,1,,,"0,3"
UITGETREDEN,,,,,,,,,
Aantal werknemers met een in de DIMONA-verklaring,,,,,,,,,
aangegeven of een in het algemeen personeelsregister,,,,,,,,,
opgetekende datum waarop hun overeenkomst tijdens het,,,,,,,,,
boekjaar een einde nam,305,,,,,2,,,"0,8"
"",Codes,Mannen,,Codes,Vrouwen,
Totaal van de formele voortgezette beroepsopleidingsinitiatieven ten,,,,,,
laste van de werkgever,,,,,,
Aantal betrokken werknemers,5801,,,5811,,
Aantal gevolgde opleidingsuren,5802,,,5812,,
Nettokosten voor de vennootschap,5803,,245,5813,,0
waarvan brutokosten rechtstreeks verbonden met de opleiding,58031,,,58131,,
waarvan betaalde bijdragen en stortingen aan collectieve fondsen,58032,,245,58132,,
waarvan ontvangen tegemoetkomingen (in mindering),58033,,,58133,,
Totaal van de minder formele en informele voortgezette,,,,,,
beroepsopleidingsinitiatieven ten laste van de werkgever,,,,,,
Aantal betrokken werknemers,5821,,,5831,,
Aantal gevolgde opleidingsuren,5822,,,5832,,
Nettokosten voor de vennootschap,5823,,,5833,,
Totaal van de initiële beroepsopleidingsinitiatieven ten laste van de,,,,,,
werkgever,,,,,,
Aantal betrokken werknemers,5841,,,5851,,
Aantal gevolgde opleidingsuren,5842,,,5852,,
Nettokosten voor de vennootschap,5843,,,5853,,
